title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst Intern,Skillzenloop,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/business-analyst-intern-at-skillzenloop-4386173606?position=38&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=37BLGUYKt9LuGo3yaSxm1w%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-skillzenloop-4386173606?position=38&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=37BLGUYKt9LuGo3yaSxm1w%3D%3D,2026-03-21,1 hour ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
Business Analyst Intern,Webs IT Solution,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388740213?position=37&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=hPz4xYioFeKHw%2F3oNkCk3w%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388740213?position=37&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=hPz4xYioFeKHw%2F3oNkCk3w%3D%3D,2026-03-21,2 hours ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
Business Analyst Intern,WebBoost Solutions by UM,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4388742203?position=36&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=bAuOc4exBXbbzDBfdd%2FNfQ%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4388742203?position=36&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=bAuOc4exBXbbzDBfdd%2FNfQ%3D%3D,2026-03-21,2 hours ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
Data Analyst Intern,Webs X UM,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388729613?position=10&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=TjNyOeUEr%2BGZIGohn%2BwfaA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388729613?position=10&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=TjNyOeUEr%2BGZIGohn%2BwfaA%3D%3D,2026-03-21,2 hours ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
Data Analyst Intern,Zenithbyte,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388601167?position=7&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=GC0NFv8CDP36zGtD7wRjmQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388601167?position=7&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=GC0NFv8CDP36zGtD7wRjmQ%3D%3D,2026-03-21,2 hours ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
Data Analyst Intern,Webs IT Solution,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388731537?position=9&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=9cPD%2B02Sa9oosbnhGfKkyQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388731537?position=9&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=9cPD%2B02Sa9oosbnhGfKkyQ%3D%3D,2026-03-21,2 hours ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=1&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=zRuiIRj7I6tt6aLrePJRvQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=1&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=zRuiIRj7I6tt6aLrePJRvQ%3D%3D,2026-03-21,8 hours ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388288804?position=2&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=uVfu9sbPJx2BTY3%2Bd%2BKtBg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388288804?position=2&pageNum=0&refId=3S9xk88c%2FNswdFbXsjihDw%3D%3D&trackingId=uVfu9sbPJx2BTY3%2Bd%2BKtBg%3D%3D,2026-03-21,1 hour ago,2026-03-21,23:56:58,daily,24h,2026-03-22 00:09,,
"Data Analyst Internship Research Engine No prior experience required Full Time Work from Home Python SQL Tableau +17 Data Analysis Postgraduate Undergraduate +2 12 K - 15 K/Month Posted Mar 21, 2026 13 days left",Data Analyst Internship,Work from Home,remote,Internship,Unstop,5,https://unstop.com/internships/data-analyst-internship-research-engine-1663145,https://unstop.com/internships/data-analyst-internship-research-engine-1663145,,,2026-03-21,23:59:55,daily,24h,2026-03-22 00:09,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,today,2026-03-21,23:58:55,daily,24h,2026-03-22 00:09,,
