role,title,company,link,location,source,score,status,logged_at
data_analyst,Data Analyst Internship,Example Linkedin Co.,https://example.com/data_analyst/linkedin/1,USA,linkedin,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Junior Data Analyst,Example Linkedin Co.,https://example.com/data_analyst/linkedin/2,Remote,linkedin,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Analyst Entry Level,Example Linkedin Co.,https://example.com/data_analyst/linkedin/3,USA,linkedin,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Data Analyst,Example Naukri Co.,https://example.com/data_analyst/naukri/1,Remote,naukri,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Business Analyst,Example Naukri Co.,https://example.com/data_analyst/naukri/2,USA,naukri,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Data Analytics,Example Internshala Co.,https://example.com/data_analyst/internshala/1,India,internshala,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Business Analysis,Example Internshala Co.,https://example.com/data_analyst/internshala/2,India,internshala,4.0,scraped,2026-03-27T17:02:36.594551+00:00
data_analyst,Data Analyst - Intern / Entry Role,Data Labs Pvt Ltd,https://example.com/jobs/data-analyst/1,India,Fallback,2.0,scraped,2026-04-02T12:33:47.132095+00:00
data_analyst,Business Analyst - Intern / Entry Role,Business Labs Pvt Ltd,https://example.com/jobs/business-analyst/2,India,Fallback,2.0,scraped,2026-04-02T12:33:47.132095+00:00
data_analyst,Analytics Intern - Intern / Entry Role,Analytics Labs Pvt Ltd,https://example.com/jobs/analytics-intern/3,India,Fallback,2.0,scraped,2026-04-02T12:33:47.132095+00:00
data_analyst,Data Analytics - Intern / Entry Role,Data Labs Pvt Ltd,https://example.com/jobs/data-analytics/1,Remote,Fallback,2.0,scraped,2026-04-02T12:33:47.132095+00:00
data_analyst,Business Analysis - Intern / Entry Role,Business Labs Pvt Ltd,https://example.com/jobs/business-analysis/2,Remote,Fallback,2.0,scraped,2026-04-02T12:33:47.132095+00:00
data_analyst,Data Analyst - Internship Opportunity,Tech Research Labs,https://t.me/job-postings,Remote / India,Telegram,0.5,scraped,2026-04-02T12:33:47.132095+00:00
data_analyst,Job,Anyone AI,https://remoteOK.com/remote-jobs/remote-biology-ai-training-expert-anyone-ai-1130953,Amsterdam,RemoteOK,2.1,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Celonis,https://remoteOK.com/remote-jobs/remote-lead-consultant-public-sector-celonis-1130986,Washington DC,RemoteOK,1.8,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,CrewBloom,https://remoteOK.com/remote-jobs/remote-website-maintenance-crewbloom-1130987,India,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Huzzle,https://remoteOK.com/remote-jobs/remote-sales-development-representative-huzzle-1130984,India,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Strata Information Group,https://remoteOK.com/remote-jobs/remote-banner-consultant-student-accounts-receivable-strata-information-group-1130974,Remote,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Huzzle,https://remoteOK.com/remote-jobs/remote-call-centre-manager-huzzle-1130965,India,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Automatiq,https://remoteOK.com/remote-jobs/remote-payments-amp-billing-operations-analyst-automatiq-1130956,Remote,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Pharmaceutical Strategies Group LLC,https://remoteOK.com/remote-jobs/remote-project-coordinator-pharmacy-benefit-management-procurements-pharmaceutical-strategies-group-llc-1130941,India,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Pearl,https://remoteOK.com/remote-jobs/remote-senior-associate-finance-pearl-1130940,India,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Skydio,https://remoteOK.com/remote-jobs/remote-program-manager-major-deployments-skydio-1130939,India,RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Extend,https://remoteOK.com/remote-jobs/remote-data-scientist-claim-experience-analytics-extend-1130934,"Remote, US",RemoteOK,1.6,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Job,Concentric,https://remoteOK.com/remote-jobs/remote-internship-marketing-summer-2026-concentric-1130969,Seattle,RemoteOK,1.1,scraped,2026-04-03T23:10:03.417661+00:00
data_analyst,Data Scientist,Tata Consultancy Services,https://www.naukri.com/job-listings-Data-Scientist-Tata-Consultancy-Services-Bengaluru-Hyderabad-Mumbai-All-Areas-8-to-12-years-020426010346?src=jobsearchDesk&sid=17753364861192&xp=6&px=1,Remote,Naukri,2.3,scraped,2026-04-04T21:01:47.321854+00:00
data_analyst,Data Scientist,Tata Consultancy Services,https://www.naukri.com/job-listings-Data-Scientist-Tata-Consultancy-Services-Bengaluru-Hyderabad-Mumbai-All-Areas-8-to-12-years-020426010346?src=jobsearchDesk&sid=17753406057898&xp=6&px=1,Remote,Naukri,2.3,scraped,2026-04-04T22:10:25.207242+00:00
data_analyst,Job,"ms consultants, inc.",https://remoteOK.com/remote-jobs/remote-senior-site-civil-engineer-land-development-ms-consultants-inc-1130993,India,RemoteOK,1.6,scraped,2026-04-05T17:04:11.103125+00:00
